id,website,category,asin,title,price,brand,series,storage,special_feature,compatible_devices,type,link
1,Amazon,monitor,‎B08GTYFC37,"SanDisk 1TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-1T00-G25",99.99,SanDisk,‎SanDisk Extreme Portable SSD,1 TB,"Water-resistant,dust-resistant,Portable","Desktop, Laptop, Tablet",,https://www.amazon.com/SanDisk-1TB-Extreme-Portable-SDSSDE61-1T00-G25/dp/B08GTYFC37/ref=sr_1_4?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2KT37zwihH1kiLnNCM_aZMLylVSUh4BGcTA3G7U3cP5kCvlFRZ3ydFK0yLkcuB15nR_bTZAXPsGkEa8f6IiCZUDgJjPpWJ6BGgBwtcneCfmxe-MNa8VpggeBnwNKbo6ErvcPK1yE8mqPSUSbPqU9ahHGbV_X3fYJWDDRCg_MZs7c6gDba1LIpH7WyYnef6KwHHI8BL5enN3WXM07RK_DSU.2NIZjOBdWIAxQ00eEaMGdR2rV-Q2bH8VMnqfWAQJZO8&dib_tag=se&keywords=hard+drive&qid=1757112708&sr=8-4
2,Amazon,monitor,‎B07CRG94G3,"Seagate Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)",79.73,Seagate,‎Basic Portable Drive,2 TB,Portable,"Desktop, Laptop",External Hard Drive,https://www.amazon.com/Seagate-Portable-External-Hard-Drive/dp/B07CRG94G3/ref=sr_1_3?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2KT37zwihH1kiLnNCM_aZMLylVSUh4BGcTA3G7U3cP5kCvlFRZ3ydFK0yLkcuB15nR_bTZAXPsGkEa8f6IiCZUDgJjPpWJ6BGgBwtcneCfmxe-MNa8VpggeBnwNKbo6ErvcPK1yE8mqPSUSbPqU9ahHGbV_X3fYJWDDRCg_MZs7c6gDba1LIpH7WyYnef6KwHHI8BL5enN3WXM07RK_DSU.2NIZjOBdWIAxQ00eEaMGdR2rV-Q2bH8VMnqfWAQJZO8&dib_tag=se&keywords=hard+drive&qid=1757112708&sr=8-3
3,Amazon,monitor,B0FCLSP5VB,ORICO Daisy-Chain 5-Bay Hard Drive Enclosure External USB 3.2 Gen 2 Aluminum Das Enclosure Support 22TB and Expansion Max Up to 330TB for 3.5-inchs HDD -9958C3,289.99,ORICO,,,,,,https://www.amazon.com/ORICO-Daisy-Chain-Enclosure-Expansion-3-5-inchs/dp/B0FCLSP5VB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2KT37zwihH1kiLnNCM_aZMLylVSUh4BGcTA3G7U3cP5kCvlFRZ3ydFK0yLkcuB15nR_bTZAXPsGkEa8f6IiCZUDgJjPpWJ6BGgBwtcneCfmxe-MNa8VpggeBnwNKbo6ErvcPK1yE8mqPSUSbPqU9ahHGbV_X3fYJWDDRCg_MZs7c6gDba1LIpH7WyYnef6KwHHI8BL5enN3WXM07RK_DSU.2NIZjOBdWIAxQ00eEaMGdR2rV-Q2bH8VMnqfWAQJZO8&dib_tag=se&keywords=hard+drive&qid=1757112708&sr=8-5
4,Amazon,monitor,B0874XN4D8,"SAMSUNG T7 Portable SSD, 1TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC1T0T/AM, Gray",89.95,SAMSUNG,,1 TB,,"Gaming Console, Mac, PC, Smartphone, Tablet",External Hard Drive,https://www.amazon.com/SAMSUNG-Portable-SSD-1TB-MU-PC1T0T/dp/B0874XN4D8/ref=sr_1_6?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2KT37zwihH1kiLnNCM_aZMLylVSUh4BGcTA3G7U3cP5kCvlFRZ3ydFK0yLkcuB15nR_bTZAXPsGkEa8f6IiCZUDgJjPpWJ6BGgBwtcneCfmxe-MNa8VpggeBnwNKbo6ErvcPK1yE8mqPSUSbPqU9ahHGbV_X3fYJWDDRCg_MZs7c6gDba1LIpH7WyYnef6KwHHI8BL5enN3WXM07RK_DSU.2NIZjOBdWIAxQ00eEaMGdR2rV-Q2bH8VMnqfWAQJZO8&dib_tag=se&keywords=hard+drive&qid=1757112708&sr=8-6
5,Amazon,monitor,‎B07H289S7C,"Seagate BarraCuda 8 TB Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s, 5,400 RPM, 256 MB Cache for Computer Desktop PC (ST8000DMZ04/004)",119.99,Seagate,‎ST8000DMZ04,8 TB,Data Recovery Service,"Desktop, Gaming Console",Internal Hard Drive,https://www.amazon.com/Seagate-BarraCuda-Internal-Drive-3-5-Inch/dp/B07H289S7C/ref=sr_1_8?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2KT37zwihH1kiLnNCM_aZMLylVSUh4BGcTA3G7U3cP5kCvlFRZ3ydFK0yLkcuB15nR_bTZAXPsGkEa8f6IiCZUDgJjPpWJ6BGgBwtcneCfmxe-MNa8VpggeBnwNKbo6ErvcPK1yE8mqPSUSbPqU9ahHGbV_X3fYJWDDRCg_MZs7c6gDba1LIpH7WyYnef6KwHHI8BL5enN3WXM07RK_DSU.2NIZjOBdWIAxQ00eEaMGdR2rV-Q2bH8VMnqfWAQJZO8&dib_tag=se&keywords=hard+drive&qid=1757112708&sr=8-8
6,Amazon,monitor,‎B07BCP3PYL,"Maxone 500GB Ultra Slim Portable External Hard Drive HDD USB 3.0 Compatible with PC, Laptop, Charcoal Grey",28.99,Maxone,‎Ultra Slim,500 GB,Portable,"Desktop, Laptop",External Hard Drive,https://www.amazon.com/Portable-External-Drive-Desktop-Chromebook/dp/B07BCP3PYL/ref=sr_1_9?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2KT37zwihH1kiLnNCM_aZMLylVSUh4BGcTA3G7U3cP5kCvlFRZ3ydFK0yLkcuB15nR_bTZAXPsGkEa8f6IiCZUDgJjPpWJ6BGgBwtcneCfmxe-MNa8VpggeBnwNKbo6ErvcPK1yE8mqPSUSbPqU9ahHGbV_X3fYJWDDRCg_MZs7c6gDba1LIpH7WyYnef6KwHHI8BL5enN3WXM07RK_DSU.2NIZjOBdWIAxQ00eEaMGdR2rV-Q2bH8VMnqfWAQJZO8&dib_tag=se&keywords=hard+drive&qid=1757112708&sr=8-9
7,Amazon,monitor,‎B0FM8SXW34,Dell G14 0J91CR 15.36TB 1 DWPD PCIe Gen 4.0 x4 8GB/s 3D TLC U.3 NVMe 2.5in Solid State Drive,1589.99,Dell,,,Hot Swappable,Server,Solid State Drive,https://www.amazon.com/Dell-0J91CR-15-36TB-2-5in-Solid/dp/B0FM8SXW34/ref=sr_1_10?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2KT37zwihH1kiLnNCM_aZMLylVSUh4BGcTA3G7U3cP5kCvlFRZ3ydFK0yLkcuB15nR_bTZAXPsGkEa8f6IiCZUDgJjPpWJ6BGgBwtcneCfmxe-MNa8VpggeBnwNKbo6ErvcPK1yE8mqPSUSbPqU9ahHGbV_X3fYJWDDRCg_MZs7c6gDba1LIpH7WyYnef6KwHHI8BL5enN3WXM07RK_DSU.2NIZjOBdWIAxQ00eEaMGdR2rV-Q2bH8VMnqfWAQJZO8&dib_tag=se&keywords=hard+drive&qid=1757112708&sr=8-10
8,Amazon,monitor,‎B06W55K9N6,"WD 2TB Elements Portable External Hard Drive for Windows, USB 3.2 Gen 1/USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0020BBK-WESN",69.99,Western Digital,‎Elements Desktop,2 TB,Portable,"Desktop, Laptop, Gaming Console",External Hard Drive,https://www.amazon.com/Western-Digital-Elements-Portable-External/dp/B06W55K9N6/ref=sr_1_11?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2KT37zwihH1kiLnNCM_aZMLylVSUh4BGcTA3G7U3cP5kCvlFRZ3ydFK0yLkcuB15nR_bTZAXPsGkEa8f6IiCZUDgJjPpWJ6BGgBwtcneCfmxe-MNa8VpggeBnwNKbo6ErvcPK1yE8mqPSUSbPqU9ahHGbV_X3fYJWDDRCg_MZs7c6gDba1LIpH7WyYnef6KwHHI8BL5enN3WXM07RK_DSU.2NIZjOBdWIAxQ00eEaMGdR2rV-Q2bH8VMnqfWAQJZO8&dib_tag=se&keywords=hard+drive&qid=1757112708&sr=8-11
9,Amazon,monitor,‎B08RX3343D,"SanDisk 4TB Extreme PRO Portable SSD - Up to 2000MB/s - USB-C, USB 3.2 Gen 2x2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE81-4T00-G25",299.99,SanDisk,‎SanDisk Extreme PRO Portable SSD,4 TB,"Hardware Encryption,Portable","Desktop, Laptop, Smartphone, Tablet",External Hard Drive,https://www.amazon.com/SanDisk-4TB-Extreme-Portable-SDSSDE81-4T00-G25/dp/B08RX3343D/ref=sr_1_13?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2KT37zwihH1kiLnNCM_aZMLylVSUh4BGcTA3G7U3cP5kCvlFRZ3ydFK0yLkcuB15nR_bTZAXPsGkEa8f6IiCZUDgJjPpWJ6BGgBwtcneCfmxe-MNa8VpggeBnwNKbo6ErvcPK1yE8mqPSUSbPqU9ahHGbV_X3fYJWDDRCg_MZs7c6gDba1LIpH7WyYnef6KwHHI8BL5enN3WXM07RK_DSU.2NIZjOBdWIAxQ00eEaMGdR2rV-Q2bH8VMnqfWAQJZO8&dib_tag=se&keywords=hard+drive&qid=1757112708&sr=8-13
10,Amazon,monitor,‎B0BQX6DVWY,"Toshiba Canvio Basics 1TB Portable External Hard Drive USB 3.0, Black - HDTB510XK3AA",57.44,TOSHIBA,‎Canvio Basics,1 TB,Portable,Laptop,External Hard Drive,https://www.amazon.com/Toshiba-Canvio-Basics-Portable-External/dp/B0BQX6DVWY/ref=sr_1_14?dib=eyJ2IjoiMSJ9.OtIs0-TwzvdNcHT81vPKh2KT37zwihH1kiLnNCM_aZMLylVSUh4BGcTA3G7U3cP5kCvlFRZ3ydFK0yLkcuB15nR_bTZAXPsGkEa8f6IiCZUDgJjPpWJ6BGgBwtcneCfmxe-MNa8VpggeBnwNKbo6ErvcPK1yE8mqPSUSbPqU9ahHGbV_X3fYJWDDRCg_MZs7c6gDba1LIpH7WyYnef6KwHHI8BL5enN3WXM07RK_DSU.2NIZjOBdWIAxQ00eEaMGdR2rV-Q2bH8VMnqfWAQJZO8&dib_tag=se&keywords=hard+drive&qid=1757112708&sr=8-14
