id,website,category,asin,title,price,brand,model_name,hard_drive,ram,screen_resolution,color,link
1,Amazon,laptop,B0DSPXLZY5,"Lenovo IdeaPad 1 Student Laptop Computer, 15.6"" FHD Display, Intel Dual Core Processor, 32GB DDR4 RAM, 1TB PCIe SSD, WiFi 6, Bluetooth 5.2, Type-C, Cloud Grey, Windows 11 Pro, Tichang",379.05,Lenovo,IdeaPad,‎1 TB SSD,‎DDR4,‎1920 x 1080 pixels,‎Cloud Grey,https://www.amazon.com/Lenovo-IdeaPad-Computer-Processor-Bluetooth/dp/B0DSPXLZY5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.LZB_k1_GhveoPmIozRbPJW1mEGQ34t6hHImO2zf84DrsJNLruUrXk7MN_vJ8A62lNpnXbUU9XJqWTfvEiuV1vlQL6onmAxTYp_Go0SQ2Yj_oCU1P6Lhf3aD_NC42DJAwh3_1gZUnOd3MnNL4dKhA_I7M8C7wPl3pu07uGbyhuAHhMYsA3aeKMj4vdHLKBIbP8uRIW5g4YX7do8A5KgReuA3kr4smlNzGxA9pQR2eu0g.FFAQOZUS-PlmRiTVe7r00neKwnboESQySBir7Z-E4qw&dib_tag=se&keywords=laptop&qid=1740179251&sr=8-1
2,Amazon,laptop,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",169.0,HP,14-dq0040nr,‎64 GB Emmc,‎4 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_2?dib=eyJ2IjoiMSJ9.LZB_k1_GhveoPmIozRbPJW1mEGQ34t6hHImO2zf84DrsJNLruUrXk7MN_vJ8A62lNpnXbUU9XJqWTfvEiuV1vlQL6onmAxTYp_Go0SQ2Yj_oCU1P6Lhf3aD_NC42DJAwh3_1gZUnOd3MnNL4dKhA_I7M8C7wPl3pu07uGbyhuAHhMYsA3aeKMj4vdHLKBIbP8uRIW5g4YX7do8A5KgReuA3kr4smlNzGxA9pQR2eu0g.FFAQOZUS-PlmRiTVe7r00neKwnboESQySBir7Z-E4qw&dib_tag=se&keywords=laptop&qid=1740179251&sr=8-2
3,Amazon,laptop,B0DK32C94G,"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",199.99,jumper,EZbook S7-Hi,‎128 GB SSD,‎DDR4,‎1366 x 768 pixels,‎Black,https://www.amazon.com/Expandable-Processor-Computer-Business-Students/dp/B0DK32C94G/ref=sr_1_3?dib=eyJ2IjoiMSJ9.LZB_k1_GhveoPmIozRbPJW1mEGQ34t6hHImO2zf84DrsJNLruUrXk7MN_vJ8A62lNpnXbUU9XJqWTfvEiuV1vlQL6onmAxTYp_Go0SQ2Yj_oCU1P6Lhf3aD_NC42DJAwh3_1gZUnOd3MnNL4dKhA_I7M8C7wPl3pu07uGbyhuAHhMYsA3aeKMj4vdHLKBIbP8uRIW5g4YX7do8A5KgReuA3kr4smlNzGxA9pQR2eu0g.FFAQOZUS-PlmRiTVe7r00neKwnboESQySBir7Z-E4qw&dib_tag=se&keywords=laptop&qid=1740179251&sr=8-3
4,Amazon,laptop,B0DJW139BG,"16 inch Laptop, 12GB RAM 256GB Storage Laptop Computer, 5305U Processor, 1920x1200 IPS FHD Display, WiFi, Bluetooth, Webcam, Type-C, 38Wh Battery",899.97,BTDD,EZbook S7 Max,‎128 GB SSD,‎DDR4,‎1920 x 1200 pixels,‎Dark Green,https://www.amazon.com/BTDD-Computer-Processor-1920x1200-Bluetooth/dp/B0DJW139BG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.LZB_k1_GhveoPmIozRbPJW1mEGQ34t6hHImO2zf84DrsJNLruUrXk7MN_vJ8A62lNpnXbUU9XJqWTfvEiuV1vlQL6onmAxTYp_Go0SQ2Yj_oCU1P6Lhf3aD_NC42DJAwh3_1gZUnOd3MnNL4dKhA_I7M8C7wPl3pu07uGbyhuAHhMYsA3aeKMj4vdHLKBIbP8uRIW5g4YX7do8A5KgReuA3kr4smlNzGxA9pQR2eu0g.FFAQOZUS-PlmRiTVe7r00neKwnboESQySBir7Z-E4qw&dib_tag=se&keywords=laptop&qid=1740179251&sr=8-4
5,Amazon,laptop,B0CPKS65P5,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",199.0,HP,TPN-Q221,‎64 GB SSD,‎16 GB DDR4,‎1366 x 768 pixels,‎Silver,https://www.amazon.com/HP-Portable-Student-Business-Quad-Core/dp/B0CPKS65P5/ref=sr_1_5?dib=eyJ2IjoiMSJ9.LZB_k1_GhveoPmIozRbPJW1mEGQ34t6hHImO2zf84DrsJNLruUrXk7MN_vJ8A62lNpnXbUU9XJqWTfvEiuV1vlQL6onmAxTYp_Go0SQ2Yj_oCU1P6Lhf3aD_NC42DJAwh3_1gZUnOd3MnNL4dKhA_I7M8C7wPl3pu07uGbyhuAHhMYsA3aeKMj4vdHLKBIbP8uRIW5g4YX7do8A5KgReuA3kr4smlNzGxA9pQR2eu0g.FFAQOZUS-PlmRiTVe7r00neKwnboESQySBir7Z-E4qw&dib_tag=se&keywords=laptop&qid=1740179251&sr=8-5
6,Amazon,laptop,B0C4G4L53W,"HP Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life, Type-C, HDMI, Windows 11 Home, Silver",380.88,HP,hp laptop,‎1 TB SSD,‎16 GB DDR4,‎1366 x 768 pixels,‎Silver,https://www.amazon.com/HP-Pavilion-Touchscreen-Anti-Glare-Processor/dp/B0C4G4L53W/ref=sr_1_6?dib=eyJ2IjoiMSJ9.LZB_k1_GhveoPmIozRbPJW1mEGQ34t6hHImO2zf84DrsJNLruUrXk7MN_vJ8A62lNpnXbUU9XJqWTfvEiuV1vlQL6onmAxTYp_Go0SQ2Yj_oCU1P6Lhf3aD_NC42DJAwh3_1gZUnOd3MnNL4dKhA_I7M8C7wPl3pu07uGbyhuAHhMYsA3aeKMj4vdHLKBIbP8uRIW5g4YX7do8A5KgReuA3kr4smlNzGxA9pQR2eu0g.FFAQOZUS-PlmRiTVe7r00neKwnboESQySBir7Z-E4qw&dib_tag=se&keywords=laptop&qid=1740179251&sr=8-6
7,Amazon,laptop,B0DRWCK964,"Lenovo V15 Laptop | 32GB RAM | 1TB PCIe SSD | Intel Celeron N4500 Processor | Intel UHD Graphics | 15.6"" FHD 1080p Anti-Glare Display | Ethernet Port RJ-45 | Windows 11 Pro | WOWPC Recovery USB",399.99,Lenovo,V15,‎1 TB SSD,‎DDR4,‎1920 x 1080 pixels,‎Black,https://www.amazon.com/Lenovo-V15-Processor-Graphics-Anti-Glare/dp/B0DRWCK964/ref=sr_1_7?dib=eyJ2IjoiMSJ9.LZB_k1_GhveoPmIozRbPJW1mEGQ34t6hHImO2zf84DrsJNLruUrXk7MN_vJ8A62lNpnXbUU9XJqWTfvEiuV1vlQL6onmAxTYp_Go0SQ2Yj_oCU1P6Lhf3aD_NC42DJAwh3_1gZUnOd3MnNL4dKhA_I7M8C7wPl3pu07uGbyhuAHhMYsA3aeKMj4vdHLKBIbP8uRIW5g4YX7do8A5KgReuA3kr4smlNzGxA9pQR2eu0g.FFAQOZUS-PlmRiTVe7r00neKwnboESQySBir7Z-E4qw&dib_tag=se&keywords=laptop&qid=1740179251&sr=8-7
8,Amazon,laptop,B0DMR5ZLQ2,"HP 14 Inch Laptop Student Business, with Office Lifetime License & Windows 11 Pro, Intel Dual-Core N4120, 16GB RAM, 384GB Storage(128GB eMMC+256GB MSD), Ultra Light, Webcam, WiFi, Accessories",349.99,HP,HP 14 Inch Laptop,‎128 GB Emmc,‎DDR4,‎1366 x 768 pixels,‎Silver,https://www.amazon.com/HP-Business-Dual-Core-N4120-Accessories/dp/B0DMR5ZLQ2/ref=sr_1_8?dib=eyJ2IjoiMSJ9.LZB_k1_GhveoPmIozRbPJW1mEGQ34t6hHImO2zf84DrsJNLruUrXk7MN_vJ8A62lNpnXbUU9XJqWTfvEiuV1vlQL6onmAxTYp_Go0SQ2Yj_oCU1P6Lhf3aD_NC42DJAwh3_1gZUnOd3MnNL4dKhA_I7M8C7wPl3pu07uGbyhuAHhMYsA3aeKMj4vdHLKBIbP8uRIW5g4YX7do8A5KgReuA3kr4smlNzGxA9pQR2eu0g.FFAQOZUS-PlmRiTVe7r00neKwnboESQySBir7Z-E4qw&dib_tag=se&keywords=laptop&qid=1740179251&sr=8-8
9,Amazon,laptop,B0D33NC672,"Acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",134.99,acer,Gateway Chromebook 311 CBO311-1H-C1MX,‎Emmc,‎4 LPDDR4X,‎1366 x 768 pixels,‎Black,https://www.amazon.com/acer-Gateway-Chromebook-CBO311-1H-C1MX-802-11ac/dp/B0D33NC672/ref=sr_1_9?dib=eyJ2IjoiMSJ9.LZB_k1_GhveoPmIozRbPJW1mEGQ34t6hHImO2zf84DrsJNLruUrXk7MN_vJ8A62lNpnXbUU9XJqWTfvEiuV1vlQL6onmAxTYp_Go0SQ2Yj_oCU1P6Lhf3aD_NC42DJAwh3_1gZUnOd3MnNL4dKhA_I7M8C7wPl3pu07uGbyhuAHhMYsA3aeKMj4vdHLKBIbP8uRIW5g4YX7do8A5KgReuA3kr4smlNzGxA9pQR2eu0g.FFAQOZUS-PlmRiTVe7r00neKwnboESQySBir7Z-E4qw&dib_tag=se&keywords=laptop&qid=1740179251&sr=8-9
10,Amazon,laptop,B0DRW64MLF,"HP 15.6"" Touchscreen Business & Student Laptop Computer, 64GB RAM 2TB SSD, 10-Cores Intel Core i5, Windows 11 Pro Laptop with Microsoft Office Lifetime Suite, PLUSERA Earphones, Silver",679.99,HP,HP 15,‎2 TB SSD,‎64 GB DDR4,‎1366 x 768 pixels,‎Silver,https://www.amazon.com/HP-Touchscreen-Business-Microsoft-Earphones/dp/B0DRW64MLF/ref=sr_1_10?dib=eyJ2IjoiMSJ9.LZB_k1_GhveoPmIozRbPJW1mEGQ34t6hHImO2zf84DrsJNLruUrXk7MN_vJ8A62lNpnXbUU9XJqWTfvEiuV1vlQL6onmAxTYp_Go0SQ2Yj_oCU1P6Lhf3aD_NC42DJAwh3_1gZUnOd3MnNL4dKhA_I7M8C7wPl3pu07uGbyhuAHhMYsA3aeKMj4vdHLKBIbP8uRIW5g4YX7do8A5KgReuA3kr4smlNzGxA9pQR2eu0g.FFAQOZUS-PlmRiTVe7r00neKwnboESQySBir7Z-E4qw&dib_tag=se&keywords=laptop&qid=1740179251&sr=8-10
