id,website,category,asin,title,price,brand,model_name,hard_drive,ram,screen_resolution,color,link
1,Amazon,laptop,B0F3CBBNBP,"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",199.99,jumper,EZbook S7-Hi,‎128 GB SSD,‎DDR4,‎1366 x 768 pixels,‎Gray,https://www.amazon.com/Expandable-Processor-Computer-Business-Students/dp/B0F3CBBNBP/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Voasa1jOLTO2S8icmnfrOcR3hyLvR6JrlFsqc0Lyvys2t52OYdVJQl6z50SL6ogr--VVYAFyiMdfNlIyK1Aq5fCvkPhlezkg3bEKqeuaySK1IGRS5XbWM0tMMYCnJagGiex2NLXTuJUtf8SG4oIIOBtlDLuJvz-1msCNhANDo8w7aFVBg6UhKL1k6hj-D7PsrftQq0VQAtNHQljG8j-A_kVgya-1AEG72RoXrOXIVxE.In89ZQcQ_ZcbLOn0QpqzYsuiolO_kfUEmxVxVuSzZXA&dib_tag=se&keywords=laptop&qid=1745449693&sr=8-1
2,Amazon,laptop,B0BS4BP8FB,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",299.99,acer,Laptop,‎128 GB SSD,‎8 GB LPDDR5,‎1920 x 1080 pixels,‎Silver,https://www.amazon.com/A315-24P-R7VH-Display-Quad-Core-Processor-Graphics/dp/B0BS4BP8FB/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Voasa1jOLTO2S8icmnfrOcR3hyLvR6JrlFsqc0Lyvys2t52OYdVJQl6z50SL6ogr--VVYAFyiMdfNlIyK1Aq5fCvkPhlezkg3bEKqeuaySK1IGRS5XbWM0tMMYCnJagGiex2NLXTuJUtf8SG4oIIOBtlDLuJvz-1msCNhANDo8w7aFVBg6UhKL1k6hj-D7PsrftQq0VQAtNHQljG8j-A_kVgya-1AEG72RoXrOXIVxE.In89ZQcQ_ZcbLOn0QpqzYsuiolO_kfUEmxVxVuSzZXA&dib_tag=se&keywords=laptop&qid=1745449693&sr=8-2
3,Amazon,laptop,B0DRVV3H89,"15.6-FHD-Laptop Student-Laptop, 16GB RAM 1TB SSD, Intel Pentium Quad-Core N100 Processor (Up to 3.4GHz) Backlit Keyboard Fingerprint WiFi 6 BT5.2 Business-Laptop, 2 Years Warranty Windows 11 Laptop",299.99,NIMO,16GB RAM|1TB SSD,‎1024 GB SSD,‎16 GB DDR4,‎1920x1080,‎Royal Blue,https://www.amazon.com/15-6-FHD-Laptop-Student-Laptop-Quad-Core-Fingerprint-Business-Laptop/dp/B0DRVV3H89/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Voasa1jOLTO2S8icmnfrOcR3hyLvR6JrlFsqc0Lyvys2t52OYdVJQl6z50SL6ogr--VVYAFyiMdfNlIyK1Aq5fCvkPhlezkg3bEKqeuaySK1IGRS5XbWM0tMMYCnJagGiex2NLXTuJUtf8SG4oIIOBtlDLuJvz-1msCNhANDo8w7aFVBg6UhKL1k6hj-D7PsrftQq0VQAtNHQljG8j-A_kVgya-1AEG72RoXrOXIVxE.In89ZQcQ_ZcbLOn0QpqzYsuiolO_kfUEmxVxVuSzZXA&dib_tag=se&keywords=laptop&qid=1745449693&sr=8-3
4,Amazon,laptop,B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",174.99,HP,14-dq0040nr,‎64 GB Emmc,‎4 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_4?dib=eyJ2IjoiMSJ9.Voasa1jOLTO2S8icmnfrOcR3hyLvR6JrlFsqc0Lyvys2t52OYdVJQl6z50SL6ogr--VVYAFyiMdfNlIyK1Aq5fCvkPhlezkg3bEKqeuaySK1IGRS5XbWM0tMMYCnJagGiex2NLXTuJUtf8SG4oIIOBtlDLuJvz-1msCNhANDo8w7aFVBg6UhKL1k6hj-D7PsrftQq0VQAtNHQljG8j-A_kVgya-1AEG72RoXrOXIVxE.In89ZQcQ_ZcbLOn0QpqzYsuiolO_kfUEmxVxVuSzZXA&dib_tag=se&keywords=laptop&qid=1745449693&sr=8-4
5,Amazon,laptop,B0B2D77YB8,"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",269.99,HP,HP Laptop,‎64 GB SSD,‎8 GB DDR4,‎1366 x 768 pixels,‎Snowflake White,https://www.amazon.com/HP-Students-Business-Quad-Core-Storage/dp/B0B2D77YB8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Voasa1jOLTO2S8icmnfrOcR3hyLvR6JrlFsqc0Lyvys2t52OYdVJQl6z50SL6ogr--VVYAFyiMdfNlIyK1Aq5fCvkPhlezkg3bEKqeuaySK1IGRS5XbWM0tMMYCnJagGiex2NLXTuJUtf8SG4oIIOBtlDLuJvz-1msCNhANDo8w7aFVBg6UhKL1k6hj-D7PsrftQq0VQAtNHQljG8j-A_kVgya-1AEG72RoXrOXIVxE.In89ZQcQ_ZcbLOn0QpqzYsuiolO_kfUEmxVxVuSzZXA&dib_tag=se&keywords=laptop&qid=1745449693&sr=8-5
6,Amazon,laptop,B0DH2ZJPZB,HP 14a Chromebook in Sparkly White 14in HD Intel Quad Core up to 3.7Ghz 4GB DDR5 128GB Storage WiFi Webcam 4K Grahics Chrome OS (14a-nf – Renewed),148.99,HP,Chromebook,‎128 GB SSD,‎DDR5,‎1366 x 768 pixels,‎White,https://www.amazon.com/HP-14a-Chromebook-Sparkly-Storage/dp/B0DH2ZJPZB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.Voasa1jOLTO2S8icmnfrOcR3hyLvR6JrlFsqc0Lyvys2t52OYdVJQl6z50SL6ogr--VVYAFyiMdfNlIyK1Aq5fCvkPhlezkg3bEKqeuaySK1IGRS5XbWM0tMMYCnJagGiex2NLXTuJUtf8SG4oIIOBtlDLuJvz-1msCNhANDo8w7aFVBg6UhKL1k6hj-D7PsrftQq0VQAtNHQljG8j-A_kVgya-1AEG72RoXrOXIVxE.In89ZQcQ_ZcbLOn0QpqzYsuiolO_kfUEmxVxVuSzZXA&dib_tag=se&keywords=laptop&qid=1745449693&sr=8-6
7,Amazon,laptop,B0DQXHKYJ4,"HP 14"" Ultra Light Laptop for Student & Home (Intel Quad-Core N4120, 4GB RAM, 128GB(64GB + 64GB SD), 1-Year Office 365) 11-Hr Long Battery Life, Webcam, WiFi, Win 11 Home in S Mode - Snow White",229.98,ist computers,HP 14 Laptop,‎128 GB Storage,‎DDR4,‎1366 x 768 pixels,‎White,https://www.amazon.com/HP-14-Student-Quad-Core-Battery/dp/B0DQXHKYJ4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Voasa1jOLTO2S8icmnfrOcR3hyLvR6JrlFsqc0Lyvys2t52OYdVJQl6z50SL6ogr--VVYAFyiMdfNlIyK1Aq5fCvkPhlezkg3bEKqeuaySK1IGRS5XbWM0tMMYCnJagGiex2NLXTuJUtf8SG4oIIOBtlDLuJvz-1msCNhANDo8w7aFVBg6UhKL1k6hj-D7PsrftQq0VQAtNHQljG8j-A_kVgya-1AEG72RoXrOXIVxE.In89ZQcQ_ZcbLOn0QpqzYsuiolO_kfUEmxVxVuSzZXA&dib_tag=se&keywords=laptop&qid=1745449693&sr=8-7
8,Amazon,laptop,B0F1N3ZDB6,"Lenovo 15.6"" FHD Laptop Computer for Business and Student, Intel Dual Core Processor, 32GB DDR4 RAM, 1TB PCIe SSD, WiFi 6, Bluetooth 5.2, Type-C, HDMI, Numeric Keypad, Black, Windows 11 Pro, AZ-XUT",479.0,Lenovo,V15,‎1 TB SSD,‎32 GB DDR4,‎1920x1080,‎Black,https://www.amazon.com/Lenovo-Computer-Business-Processor-Bluetooth/dp/B0F1N3ZDB6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Voasa1jOLTO2S8icmnfrOcR3hyLvR6JrlFsqc0Lyvys2t52OYdVJQl6z50SL6ogr--VVYAFyiMdfNlIyK1Aq5fCvkPhlezkg3bEKqeuaySK1IGRS5XbWM0tMMYCnJagGiex2NLXTuJUtf8SG4oIIOBtlDLuJvz-1msCNhANDo8w7aFVBg6UhKL1k6hj-D7PsrftQq0VQAtNHQljG8j-A_kVgya-1AEG72RoXrOXIVxE.In89ZQcQ_ZcbLOn0QpqzYsuiolO_kfUEmxVxVuSzZXA&dib_tag=se&keywords=laptop&qid=1745449693&sr=8-8
9,Amazon,laptop,B0DXQQYQGF,Lenovo V15 Business Laptop | Intel Pentium N6000 4-core Processor | 15.6 FHD (1920 x 1080) | 40GB RAM | 1TB PCIe SSD | Anti-Glare | WiFi-6 | Military Durability | Ethernet RJ-45 | Windows 11 Pro,499.99,Lenovo,V15,‎1 TB PCIe,‎DDR4,‎1920 x 1080 pixels,‎Black,https://www.amazon.com/Lenovo-V15-Processor-Anti-Glare-Durability/dp/B0DXQQYQGF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Voasa1jOLTO2S8icmnfrOcR3hyLvR6JrlFsqc0Lyvys2t52OYdVJQl6z50SL6ogr--VVYAFyiMdfNlIyK1Aq5fCvkPhlezkg3bEKqeuaySK1IGRS5XbWM0tMMYCnJagGiex2NLXTuJUtf8SG4oIIOBtlDLuJvz-1msCNhANDo8w7aFVBg6UhKL1k6hj-D7PsrftQq0VQAtNHQljG8j-A_kVgya-1AEG72RoXrOXIVxE.In89ZQcQ_ZcbLOn0QpqzYsuiolO_kfUEmxVxVuSzZXA&dib_tag=se&keywords=laptop&qid=1745449693&sr=8-9
10,Amazon,laptop,B0CPKS65P5,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 16GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",204.95,HP,TPN-Q221,‎64 GB SSD,‎16 GB DDR4,‎1366 x 768 pixels,‎Silver,https://www.amazon.com/HP-Portable-Student-Business-Quad-Core/dp/B0CPKS65P5/ref=sr_1_10?dib=eyJ2IjoiMSJ9.Voasa1jOLTO2S8icmnfrOcR3hyLvR6JrlFsqc0Lyvys2t52OYdVJQl6z50SL6ogr--VVYAFyiMdfNlIyK1Aq5fCvkPhlezkg3bEKqeuaySK1IGRS5XbWM0tMMYCnJagGiex2NLXTuJUtf8SG4oIIOBtlDLuJvz-1msCNhANDo8w7aFVBg6UhKL1k6hj-D7PsrftQq0VQAtNHQljG8j-A_kVgya-1AEG72RoXrOXIVxE.In89ZQcQ_ZcbLOn0QpqzYsuiolO_kfUEmxVxVuSzZXA&dib_tag=se&keywords=laptop&qid=1745449693&sr=8-10
